,Name,Instrument Type,Currency,Contributor,RIC
78,UK Pound Sterling 4 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L4Y=PMID
79,UK Pound Sterling 5 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L5Y=PMID
80,UK Pound Sterling 1 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L1Y=PMID
81,UK Pound Sterling 2 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L2Y=PMID
82,UK Pound Sterling 10 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L10Y=PMID
83,UK Pound Sterling 6 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L6Y=PMID
84,UK Pound Sterling 7 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L7Y=PMID
85,UK Pound Sterling 8 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L8Y=PMID
86,UK Pound Sterling 3 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L3M=PMID
87,UK Pound Sterling 9 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L9M=PMID
88,UK Pound Sterling 6 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L6M=PMID
89,UK Pound Sterling 9 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L9Y=PMID
90,UK Pound Sterling 12 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L12Y=PMID
91,UK Pound Sterling 15 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L15Y=PMID
92,UK Pound Sterling 3 Year Interest Rate Swap,Quote,C:4,PARAMETA TP DERIVED,GBPSB3L3Y=PMTD
93,UK Pound Sterling 2 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L2M=PMID
94,UK Pound Sterling 4 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L4M=PMID
95,UK Pound Sterling 5 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L5M=PMID
96,UK Pound Sterling 8 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L8M=PMID
97,UK Pound Sterling 7 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L7M=PMID
98,UK Pound Sterling 10 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L10M=PMID
99,UK Pound Sterling 20 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L20Y=PMID
100,UK Pound Sterling 5 Year Interest Rate Swap,Quote,C:4,PARAMETA TP DERIVED,GBPSB3L5Y=PMTD
101,UK Pound Sterling 11 Month Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPAM1L11M=PMID
102,UK Pound Sterling 10 Year Interest Rate Swap,Quote,C:4,PARAMETA TP DERIVED,GBPSB3L10Y=PMTD
103,UK Pound Sterling 30 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L30Y=PMID
104,UK Pound Sterling 25 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L25Y=PMID
105,UK Pound Sterling 40 Year Interest Rate Swap,Quote,C:4,PMETA ICAP,GBPSM3L40Y=PMID
106,UK Pound Sterling 1 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP1YOIS=TWEB
107,UK Pound Sterling 5 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP5YOIS=TWEB
108,UK Pound Sterling 3 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP3MOIS=TWEB
109,UK Pound Sterling 1 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP1MOIS=TWEB
110,UK Pound Sterling 6 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP6MOIS=TWEB
111,UK Pound Sterling 3 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP3YOIS=TWEB
112,UK Pound Sterling 9 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP9MOIS=TWEB
113,UK Pound Sterling 7 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP7YOIS=TWEB
114,UK Pound Sterling 10 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP10YOIS=TWEB
115,UK Pound Sterling 18 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP18MOIS=TWEB
116,UK Pound Sterling 20 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP20YOIS=TWEB
117,UK Pound Sterling 4 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP4YOIS=TWEB
118,UK Pound Sterling 2 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP2MOIS=TWEB
119,UK Pound Sterling 30 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP30YOIS=TWEB
120,UK Pound Sterling 6 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP6YOIS=TWEB
121,UK Pound Sterling 8 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP8YOIS=TWEB
122,UK Pound Sterling 15 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP15YOIS=TWEB
123,UK Pound Sterling 9 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP9YOIS=TWEB
124,UK Pound Sterling 2 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP2YOIS=TWEB
125,UK Pound Sterling 11 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP11MOIS=TWEB
126,UK Pound Sterling 10 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP10MOIS=TWEB
127,UK Pound Sterling 12 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP12YOIS=TWEB
128,UK Pound Sterling 5 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP5MOIS=TWEB
129,UK Pound Sterling 4 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP4MOIS=TWEB
130,UK Pound Sterling 25 Year Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP25YOIS=TWEB
131,UK Pound Sterling 8 Month Overnight Index Swap,Quote,C:4,Tradeweb Composite,GBP8MOIS=TWEB
